,Notes,State,State Code,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population
1242,,Colorado,8,2006.0,Cocaine,T40.5,193,4720423
1243,,Colorado,8,2006.0,Other and unspecified narcotics,T40.6,92,4720423
1244,,Colorado,8,2006.0,Cannabis (derivatives),T40.7,Suppressed,4720423
1245,,Colorado,8,2006.0,Lysergide [LSD],T40.8,Suppressed,4720423
1246,,Colorado,8,2006.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4720423
1247,Total,Colorado,8,2006.0,,,549,4720423
1248,,Colorado,8,2007.0,Opium,T40.0,Suppressed,4803868
1249,,Colorado,8,2007.0,Heroin,T40.1,39,4803868
1250,,Colorado,8,2007.0,Other opioids,T40.2,195,4803868
1251,,Colorado,8,2007.0,Methadone,T40.3,60,4803868
1252,,Colorado,8,2007.0,Other synthetic narcotics,T40.4,45,4803868
1253,,Colorado,8,2007.0,Cocaine,T40.5,158,4803868
1254,,Colorado,8,2007.0,Other and unspecified narcotics,T40.6,52,4803868
1255,,Colorado,8,2007.0,Cannabis (derivatives),T40.7,Suppressed,4803868
1256,,Colorado,8,2007.0,Lysergide [LSD],T40.8,Suppressed,4803868
1257,,Colorado,8,2007.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4803868
1258,Total,Colorado,8,2007.0,,,551,4803868
1259,,Colorado,8,2008.0,Opium,T40.0,Suppressed,4889730
1260,,Colorado,8,2008.0,Heroin,T40.1,48,4889730
1261,,Colorado,8,2008.0,Other opioids,T40.2,182,4889730
1262,,Colorado,8,2008.0,Methadone,T40.3,50,4889730
1263,,Colorado,8,2008.0,Other synthetic narcotics,T40.4,40,4889730
1264,,Colorado,8,2008.0,Cocaine,T40.5,131,4889730
1265,,Colorado,8,2008.0,Other and unspecified narcotics,T40.6,80,4889730
1266,,Colorado,8,2008.0,Cannabis (derivatives),T40.7,Suppressed,4889730
1267,,Colorado,8,2008.0,Lysergide [LSD],T40.8,Suppressed,4889730
1268,,Colorado,8,2008.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4889730
1269,Total,Colorado,8,2008.0,,,539,4889730
1270,,Colorado,8,2009.0,Opium,T40.0,Suppressed,4972195
1271,,Colorado,8,2009.0,Heroin,T40.1,73,4972195
1272,,Colorado,8,2009.0,Other opioids,T40.2,176,4972195
1273,,Colorado,8,2009.0,Methadone,T40.3,60,4972195
1274,,Colorado,8,2009.0,Other synthetic narcotics,T40.4,70,4972195
1275,,Colorado,8,2009.0,Cocaine,T40.5,102,4972195
1276,,Colorado,8,2009.0,Other and unspecified narcotics,T40.6,68,4972195
1277,,Colorado,8,2009.0,Cannabis (derivatives),T40.7,Suppressed,4972195
1278,,Colorado,8,2009.0,Lysergide [LSD],T40.8,Suppressed,4972195
1279,,Colorado,8,2009.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4972195
1280,Total,Colorado,8,2009.0,,,555,4972195
1281,,Colorado,8,2010.0,Opium,T40.0,Suppressed,5029196
1282,,Colorado,8,2010.0,Heroin,T40.1,46,5029196
1283,,Colorado,8,2010.0,Other opioids,T40.2,150,5029196
1284,,Colorado,8,2010.0,Methadone,T40.3,51,5029196
1285,,Colorado,8,2010.0,Other synthetic narcotics,T40.4,59,5029196
1286,,Colorado,8,2010.0,Cocaine,T40.5,77,5029196
1287,,Colorado,8,2010.0,Other and unspecified narcotics,T40.6,46,5029196
1288,,Colorado,8,2010.0,Cannabis (derivatives),T40.7,Suppressed,5029196
1289,,Colorado,8,2010.0,Lysergide [LSD],T40.8,Suppressed,5029196
1290,,Colorado,8,2010.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5029196
1291,Total,Colorado,8,2010.0,,,435,5029196
1292,,Colorado,8,2011.0,Opium,T40.0,Suppressed,5116796
1293,,Colorado,8,2011.0,Heroin,T40.1,80,5116796
1294,,Colorado,8,2011.0,Other opioids,T40.2,200,5116796
1295,,Colorado,8,2011.0,Methadone,T40.3,61,5116796
1296,,Colorado,8,2011.0,Other synthetic narcotics,T40.4,80,5116796
1297,,Colorado,8,2011.0,Cocaine,T40.5,98,5116796
1298,,Colorado,8,2011.0,Other and unspecified narcotics,T40.6,37,5116796
1299,,Colorado,8,2011.0,Cannabis (derivatives),T40.7,19,5116796
1300,,Colorado,8,2011.0,Lysergide [LSD],T40.8,Suppressed,5116796
1301,,Colorado,8,2011.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5116796
1302,Total,Colorado,8,2011.0,,,576,5116796
1303,,Colorado,8,2012.0,Opium,T40.0,Suppressed,5187582
1304,,Colorado,8,2012.0,Heroin,T40.1,91,5187582
1305,,Colorado,8,2012.0,Other opioids,T40.2,227,5187582
1306,,Colorado,8,2012.0,Methadone,T40.3,45,5187582
1307,,Colorado,8,2012.0,Other synthetic narcotics,T40.4,53,5187582
1308,,Colorado,8,2012.0,Cocaine,T40.5,70,5187582
1309,,Colorado,8,2012.0,Other and unspecified narcotics,T40.6,39,5187582
1310,,Colorado,8,2012.0,Cannabis (derivatives),T40.7,21,5187582
1311,,Colorado,8,2012.0,Lysergide [LSD],T40.8,Suppressed,5187582
1312,,Colorado,8,2012.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5187582
1313,Total,Colorado,8,2012.0,,,546,5187582
1314,,Colorado,8,2013.0,Opium,T40.0,Suppressed,5268367
1315,,Colorado,8,2013.0,Heroin,T40.1,120,5268367
1316,,Colorado,8,2013.0,Other opioids,T40.2,225,5268367
1317,,Colorado,8,2013.0,Methadone,T40.3,43,5268367
1318,,Colorado,8,2013.0,Other synthetic narcotics,T40.4,70,5268367
1319,,Colorado,8,2013.0,Cocaine,T40.5,64,5268367
1320,,Colorado,8,2013.0,Other and unspecified narcotics,T40.6,46,5268367
1321,,Colorado,8,2013.0,Cannabis (derivatives),T40.7,21,5268367
1322,,Colorado,8,2013.0,Lysergide [LSD],T40.8,Suppressed,5268367
1323,,Colorado,8,2013.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5268367
1324,Total,Colorado,8,2013.0,,,590,5268367
1325,,Colorado,8,2014.0,Opium,T40.0,Suppressed,5355866
1326,,Colorado,8,2014.0,Heroin,T40.1,159,5355866
1327,,Colorado,8,2014.0,Other opioids,T40.2,263,5355866
1328,,Colorado,8,2014.0,Methadone,T40.3,52,5355866
1329,,Colorado,8,2014.0,Other synthetic narcotics,T40.4,85,5355866
1330,,Colorado,8,2014.0,Cocaine,T40.5,85,5355866
1331,,Colorado,8,2014.0,Other and unspecified narcotics,T40.6,46,5355866
1332,,Colorado,8,2014.0,Cannabis (derivatives),T40.7,33,5355866
1333,,Colorado,8,2014.0,Lysergide [LSD],T40.8,Suppressed,5355866
1334,,Colorado,8,2014.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5355866
1335,Total,Colorado,8,2014.0,,,724,5355866
1336,,Colorado,8,2015.0,Opium,T40.0,Suppressed,5456574
1337,,Colorado,8,2015.0,Heroin,T40.1,164,5456574
1338,,Colorado,8,2015.0,Other opioids,T40.2,270,5456574
1339,,Colorado,8,2015.0,Methadone,T40.3,36,5456574
1340,,Colorado,8,2015.0,Other synthetic narcotics,T40.4,65,5456574
1341,,Colorado,8,2015.0,Cocaine,T40.5,72,5456574
1342,,Colorado,8,2015.0,Other and unspecified narcotics,T40.6,35,5456574
1343,,Colorado,8,2015.0,Cannabis (derivatives),T40.7,Suppressed,5456574
1344,,Colorado,8,2015.0,Lysergide [LSD],T40.8,Suppressed,5456574
1345,,Colorado,8,2015.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5456574
1346,Total,Colorado,8,2015.0,,,649,5456574
1347,,Colorado,8,2016.0,Opium,T40.0,Suppressed,5540545
1348,,Colorado,8,2016.0,Heroin,T40.1,241,5540545
1349,,Colorado,8,2016.0,Other opioids,T40.2,223,5540545
1350,,Colorado,8,2016.0,Methadone,T40.3,60,5540545
1351,,Colorado,8,2016.0,Other synthetic narcotics,T40.4,75,5540545
1352,,Colorado,8,2016.0,Cocaine,T40.5,120,5540545
1353,,Colorado,8,2016.0,Other and unspecified narcotics,T40.6,26,5540545
1354,,Colorado,8,2016.0,Cannabis (derivatives),T40.7,15,5540545
1355,,Colorado,8,2016.0,Lysergide [LSD],T40.8,Suppressed,5540545
1356,,Colorado,8,2016.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5540545
1357,Total,Colorado,8,2016.0,,,760,5540545
1358,,Colorado,8,2017.0,Opium,T40.0,Suppressed,5607154
1359,,Colorado,8,2017.0,Heroin,T40.1,229,5607154
1360,,Colorado,8,2017.0,Other opioids,T40.2,264,5607154
1361,,Colorado,8,2017.0,Methadone,T40.3,60,5607154
1362,,Colorado,8,2017.0,Other synthetic narcotics,T40.4,117,5607154
1363,,Colorado,8,2017.0,Cocaine,T40.5,109,5607154
1364,,Colorado,8,2017.0,Other and unspecified narcotics,T40.6,31,5607154
1365,,Colorado,8,2017.0,Cannabis (derivatives),T40.7,25,5607154
1366,,Colorado,8,2017.0,Lysergide [LSD],T40.8,Suppressed,5607154
1367,,Colorado,8,2017.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5607154
1368,Total,Colorado,8,2017.0,,,837,5607154
1369,,Colorado,8,2018.0,Opium,T40.0,Suppressed,5695564
1370,,Colorado,8,2018.0,Heroin,T40.1,243,5695564
1371,,Colorado,8,2018.0,Other opioids,T40.2,240,5695564
1372,,Colorado,8,2018.0,Methadone,T40.3,58,5695564
1373,,Colorado,8,2018.0,Other synthetic narcotics,T40.4,140,5695564
1374,,Colorado,8,2018.0,Cocaine,T40.5,150,5695564
1375,,Colorado,8,2018.0,Other and unspecified narcotics,T40.6,22,5695564
1376,,Colorado,8,2018.0,Cannabis (derivatives),T40.7,36,5695564
1377,,Colorado,8,2018.0,Lysergide [LSD],T40.8,Suppressed,5695564
1378,,Colorado,8,2018.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5695564
1379,Total,Colorado,8,2018.0,,,890,5695564
1380,,Colorado,8,2019.0,Opium,T40.0,Suppressed,5758736
1381,,Colorado,8,2019.0,Heroin,T40.1,225,5758736
1382,,Colorado,8,2019.0,Other opioids,T40.2,258,5758736
1383,,Colorado,8,2019.0,Methadone,T40.3,40,5758736
1384,,Colorado,8,2019.0,Other synthetic narcotics,T40.4,261,5758736
1385,,Colorado,8,2019.0,Cocaine,T40.5,155,5758736
1386,,Colorado,8,2019.0,Other and unspecified narcotics,T40.6,19,5758736
1387,,Colorado,8,2019.0,Cannabis (derivatives),T40.7,59,5758736
1388,,Colorado,8,2019.0,Lysergide [LSD],T40.8,Suppressed,5758736
1389,,Colorado,8,2019.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,5758736
1390,Total,Colorado,8,2019.0,,,1018,5758736
1391,Total,Colorado,8,,,,11829,104581601
1392,,Connecticut,9,1999.0,Opium,T40.0,Suppressed,3386401
1393,,Connecticut,9,1999.0,Heroin,T40.1,98,3386401
1394,,Connecticut,9,1999.0,Other opioids,T40.2,12,3386401
1395,,Connecticut,9,1999.0,Methadone,T40.3,14,3386401
1396,,Connecticut,9,1999.0,Other synthetic narcotics,T40.4,Suppressed,3386401
1397,,Connecticut,9,1999.0,Cocaine,T40.5,88,3386401
1398,,Connecticut,9,1999.0,Other and unspecified narcotics,T40.6,31,3386401
1399,,Connecticut,9,1999.0,Cannabis (derivatives),T40.7,Suppressed,3386401
1400,,Connecticut,9,1999.0,Lysergide [LSD],T40.8,Suppressed,3386401
1401,,Connecticut,9,1999.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3386401
1402,Total,Connecticut,9,1999.0,,,253,3386401
1403,,Connecticut,9,2000.0,Opium,T40.0,Suppressed,3405565
1404,,Connecticut,9,2000.0,Heroin,T40.1,113,3405565
1405,,Connecticut,9,2000.0,Other opioids,T40.2,Suppressed,3405565
1406,,Connecticut,9,2000.0,Methadone,T40.3,16,3405565
1407,,Connecticut,9,2000.0,Other synthetic narcotics,T40.4,Suppressed,3405565
1408,,Connecticut,9,2000.0,Cocaine,T40.5,50,3405565
1409,,Connecticut,9,2000.0,Other and unspecified narcotics,T40.6,36,3405565
1410,,Connecticut,9,2000.0,Cannabis (derivatives),T40.7,Suppressed,3405565
1411,,Connecticut,9,2000.0,Lysergide [LSD],T40.8,Suppressed,3405565
1412,,Connecticut,9,2000.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3405565
1413,Total,Connecticut,9,2000.0,,,230,3405565
1414,,Connecticut,9,2001.0,Opium,T40.0,Suppressed,3432835
1415,,Connecticut,9,2001.0,Heroin,T40.1,98,3432835
1416,,Connecticut,9,2001.0,Other opioids,T40.2,19,3432835
1417,,Connecticut,9,2001.0,Methadone,T40.3,16,3432835
1418,,Connecticut,9,2001.0,Other synthetic narcotics,T40.4,Suppressed,3432835
1419,,Connecticut,9,2001.0,Cocaine,T40.5,60,3432835
1420,,Connecticut,9,2001.0,Other and unspecified narcotics,T40.6,24,3432835
1421,,Connecticut,9,2001.0,Cannabis (derivatives),T40.7,Suppressed,3432835
1422,,Connecticut,9,2001.0,Lysergide [LSD],T40.8,Suppressed,3432835
1423,,Connecticut,9,2001.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3432835
1424,Total,Connecticut,9,2001.0,,,227,3432835
1425,,Connecticut,9,2002.0,Opium,T40.0,Suppressed,3458749
1426,,Connecticut,9,2002.0,Heroin,T40.1,90,3458749
1427,,Connecticut,9,2002.0,Other opioids,T40.2,25,3458749
1428,,Connecticut,9,2002.0,Methadone,T40.3,24,3458749
1429,,Connecticut,9,2002.0,Other synthetic narcotics,T40.4,Suppressed,3458749
1430,,Connecticut,9,2002.0,Cocaine,T40.5,63,3458749
1431,,Connecticut,9,2002.0,Other and unspecified narcotics,T40.6,32,3458749
1432,,Connecticut,9,2002.0,Cannabis (derivatives),T40.7,Suppressed,3458749
1433,,Connecticut,9,2002.0,Lysergide [LSD],T40.8,Suppressed,3458749
1434,,Connecticut,9,2002.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3458749
1435,Total,Connecticut,9,2002.0,,,242,3458749
1436,,Connecticut,9,2003.0,Opium,T40.0,Suppressed,3484336
1437,,Connecticut,9,2003.0,Heroin,T40.1,109,3484336
1438,,Connecticut,9,2003.0,Other opioids,T40.2,23,3484336
1439,,Connecticut,9,2003.0,Methadone,T40.3,19,3484336
1440,,Connecticut,9,2003.0,Other synthetic narcotics,T40.4,Suppressed,3484336
1441,,Connecticut,9,2003.0,Cocaine,T40.5,68,3484336
1442,,Connecticut,9,2003.0,Other and unspecified narcotics,T40.6,21,3484336
1443,,Connecticut,9,2003.0,Cannabis (derivatives),T40.7,Suppressed,3484336
1444,,Connecticut,9,2003.0,Lysergide [LSD],T40.8,Suppressed,3484336
1445,,Connecticut,9,2003.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3484336
1446,Total,Connecticut,9,2003.0,,,247,3484336
1447,,Connecticut,9,2004.0,Opium,T40.0,Suppressed,3496094
1448,,Connecticut,9,2004.0,Heroin,T40.1,94,3496094
1449,,Connecticut,9,2004.0,Other opioids,T40.2,31,3496094
1450,,Connecticut,9,2004.0,Methadone,T40.3,44,3496094
1451,,Connecticut,9,2004.0,Other synthetic narcotics,T40.4,10,3496094
1452,,Connecticut,9,2004.0,Cocaine,T40.5,61,3496094
1453,,Connecticut,9,2004.0,Other and unspecified narcotics,T40.6,25,3496094
1454,,Connecticut,9,2004.0,Cannabis (derivatives),T40.7,Suppressed,3496094
1455,,Connecticut,9,2004.0,Lysergide [LSD],T40.8,Suppressed,3496094
1456,,Connecticut,9,2004.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3496094
1457,Total,Connecticut,9,2004.0,,,265,3496094
1458,,Connecticut,9,2005.0,Opium,T40.0,Suppressed,3506956
1459,,Connecticut,9,2005.0,Heroin,T40.1,82,3506956
1460,,Connecticut,9,2005.0,Other opioids,T40.2,28,3506956
1461,,Connecticut,9,2005.0,Methadone,T40.3,38,3506956
1462,,Connecticut,9,2005.0,Other synthetic narcotics,T40.4,11,3506956
1463,,Connecticut,9,2005.0,Cocaine,T40.5,85,3506956
1464,,Connecticut,9,2005.0,Other and unspecified narcotics,T40.6,29,3506956
1465,,Connecticut,9,2005.0,Cannabis (derivatives),T40.7,Suppressed,3506956
1466,,Connecticut,9,2005.0,Lysergide [LSD],T40.8,Suppressed,3506956
1467,,Connecticut,9,2005.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3506956
1468,Total,Connecticut,9,2005.0,,,273,3506956
1469,,Connecticut,9,2006.0,Opium,T40.0,Suppressed,3517460
1470,,Connecticut,9,2006.0,Heroin,T40.1,93,3517460
1471,,Connecticut,9,2006.0,Other opioids,T40.2,39,3517460
1472,,Connecticut,9,2006.0,Methadone,T40.3,62,3517460
1473,,Connecticut,9,2006.0,Other synthetic narcotics,T40.4,13,3517460
1474,,Connecticut,9,2006.0,Cocaine,T40.5,113,3517460
1475,,Connecticut,9,2006.0,Other and unspecified narcotics,T40.6,46,3517460
1476,,Connecticut,9,2006.0,Cannabis (derivatives),T40.7,Suppressed,3517460
1477,,Connecticut,9,2006.0,Lysergide [LSD],T40.8,Suppressed,3517460
1478,,Connecticut,9,2006.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3517460
1479,Total,Connecticut,9,2006.0,,,366,3517460
1480,,Connecticut,9,2007.0,Opium,T40.0,Suppressed,3527270
1481,,Connecticut,9,2007.0,Heroin,T40.1,120,3527270
1482,,Connecticut,9,2007.0,Other opioids,T40.2,35,3527270
1483,,Connecticut,9,2007.0,Methadone,T40.3,57,3527270
1484,,Connecticut,9,2007.0,Other synthetic narcotics,T40.4,22,3527270
1485,,Connecticut,9,2007.0,Cocaine,T40.5,98,3527270
1486,,Connecticut,9,2007.0,Other and unspecified narcotics,T40.6,33,3527270
1487,,Connecticut,9,2007.0,Cannabis (derivatives),T40.7,Suppressed,3527270
1488,,Connecticut,9,2007.0,Lysergide [LSD],T40.8,Suppressed,3527270
1489,,Connecticut,9,2007.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3527270
1490,Total,Connecticut,9,2007.0,,,365,3527270
1491,,Connecticut,9,2008.0,Opium,T40.0,Suppressed,3545579
1492,,Connecticut,9,2008.0,Heroin,T40.1,109,3545579
1493,,Connecticut,9,2008.0,Other opioids,T40.2,40,3545579
1494,,Connecticut,9,2008.0,Methadone,T40.3,48,3545579
1495,,Connecticut,9,2008.0,Other synthetic narcotics,T40.4,16,3545579
1496,,Connecticut,9,2008.0,Cocaine,T40.5,74,3545579
1497,,Connecticut,9,2008.0,Other and unspecified narcotics,T40.6,28,3545579
1498,,Connecticut,9,2008.0,Cannabis (derivatives),T40.7,Suppressed,3545579
1499,,Connecticut,9,2008.0,Lysergide [LSD],T40.8,Suppressed,3545579
1500,,Connecticut,9,2008.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3545579
1501,Total,Connecticut,9,2008.0,,,315,3545579
1502,,Connecticut,9,2009.0,Opium,T40.0,Suppressed,3561807
1503,,Connecticut,9,2009.0,Heroin,T40.1,100,3561807
1504,,Connecticut,9,2009.0,Other opioids,T40.2,32,3561807
1505,,Connecticut,9,2009.0,Methadone,T40.3,42,3561807
1506,,Connecticut,9,2009.0,Other synthetic narcotics,T40.4,21,3561807
1507,,Connecticut,9,2009.0,Cocaine,T40.5,64,3561807
1508,,Connecticut,9,2009.0,Other and unspecified narcotics,T40.6,32,3561807
1509,,Connecticut,9,2009.0,Cannabis (derivatives),T40.7,Suppressed,3561807
1510,,Connecticut,9,2009.0,Lysergide [LSD],T40.8,Suppressed,3561807
1511,,Connecticut,9,2009.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3561807
1512,Total,Connecticut,9,2009.0,,,291,3561807
1513,,Connecticut,9,2010.0,Opium,T40.0,Suppressed,3574097
1514,,Connecticut,9,2010.0,Heroin,T40.1,77,3574097
1515,,Connecticut,9,2010.0,Other opioids,T40.2,43,3574097
1516,,Connecticut,9,2010.0,Methadone,T40.3,43,3574097
1517,,Connecticut,9,2010.0,Other synthetic narcotics,T40.4,22,3574097
1518,,Connecticut,9,2010.0,Cocaine,T40.5,55,3574097
1519,,Connecticut,9,2010.0,Other and unspecified narcotics,T40.6,51,3574097
1520,,Connecticut,9,2010.0,Cannabis (derivatives),T40.7,Suppressed,3574097
1521,,Connecticut,9,2010.0,Lysergide [LSD],T40.8,Suppressed,3574097
1522,,Connecticut,9,2010.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3574097
1523,Total,Connecticut,9,2010.0,,,291,3574097
1524,,Connecticut,9,2011.0,Opium,T40.0,Suppressed,3580709
1525,,Connecticut,9,2011.0,Heroin,T40.1,85,3580709
1526,,Connecticut,9,2011.0,Other opioids,T40.2,45,3580709
1527,,Connecticut,9,2011.0,Methadone,T40.3,32,3580709
1528,,Connecticut,9,2011.0,Other synthetic narcotics,T40.4,16,3580709
1529,,Connecticut,9,2011.0,Cocaine,T40.5,80,3580709
1530,,Connecticut,9,2011.0,Other and unspecified narcotics,T40.6,38,3580709
1531,,Connecticut,9,2011.0,Cannabis (derivatives),T40.7,Suppressed,3580709
1532,,Connecticut,9,2011.0,Lysergide [LSD],T40.8,Suppressed,3580709
1533,,Connecticut,9,2011.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3580709
1534,Total,Connecticut,9,2011.0,,,296,3580709
1535,,Connecticut,9,2012.0,Opium,T40.0,Suppressed,3590347
1536,,Connecticut,9,2012.0,Heroin,T40.1,98,3590347
1537,,Connecticut,9,2012.0,Other opioids,T40.2,38,3590347
1538,,Connecticut,9,2012.0,Methadone,T40.3,25,3590347
1539,,Connecticut,9,2012.0,Other synthetic narcotics,T40.4,15,3590347
1540,,Connecticut,9,2012.0,Cocaine,T40.5,74,3590347
1541,,Connecticut,9,2012.0,Other and unspecified narcotics,T40.6,35,3590347
1542,,Connecticut,9,2012.0,Cannabis (derivatives),T40.7,Suppressed,3590347
1543,,Connecticut,9,2012.0,Lysergide [LSD],T40.8,Suppressed,3590347
1544,,Connecticut,9,2012.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3590347
1545,Total,Connecticut,9,2012.0,,,285,3590347
1546,,Connecticut,9,2013.0,Opium,T40.0,Suppressed,3596080
1547,,Connecticut,9,2013.0,Heroin,T40.1,229,3596080
1548,,Connecticut,9,2013.0,Other opioids,T40.2,145,3596080
1549,,Connecticut,9,2013.0,Methadone,T40.3,49,3596080
1550,,Connecticut,9,2013.0,Other synthetic narcotics,T40.4,53,3596080
1551,,Connecticut,9,2013.0,Cocaine,T40.5,147,3596080
1552,,Connecticut,9,2013.0,Other and unspecified narcotics,T40.6,25,3596080
1553,,Connecticut,9,2013.0,Cannabis (derivatives),T40.7,Suppressed,3596080
1554,,Connecticut,9,2013.0,Lysergide [LSD],T40.8,Suppressed,3596080
1555,,Connecticut,9,2013.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3596080
1556,Total,Connecticut,9,2013.0,,,651,3596080
1557,,Connecticut,9,2014.0,Opium,T40.0,Suppressed,3596677
1558,,Connecticut,9,2014.0,Heroin,T40.1,300,3596677
1559,,Connecticut,9,2014.0,Other opioids,T40.2,160,3596677
1560,,Connecticut,9,2014.0,Methadone,T40.3,52,3596677
1561,,Connecticut,9,2014.0,Other synthetic narcotics,T40.4,94,3596677
1562,,Connecticut,9,2014.0,Cocaine,T40.5,124,3596677
1563,,Connecticut,9,2014.0,Other and unspecified narcotics,T40.6,22,3596677
1564,,Connecticut,9,2014.0,Cannabis (derivatives),T40.7,Suppressed,3596677
1565,,Connecticut,9,2014.0,Lysergide [LSD],T40.8,Suppressed,3596677
1566,,Connecticut,9,2014.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3596677
1567,Total,Connecticut,9,2014.0,,,753,3596677
1568,,Connecticut,9,2015.0,Opium,T40.0,Suppressed,3590886
1569,,Connecticut,9,2015.0,Heroin,T40.1,392,3590886
1570,,Connecticut,9,2015.0,Other opioids,T40.2,187,3590886
1571,,Connecticut,9,2015.0,Methadone,T40.3,73,3590886
1572,,Connecticut,9,2015.0,Other synthetic narcotics,T40.4,211,3590886
1573,,Connecticut,9,2015.0,Cocaine,T40.5,171,3590886
1574,,Connecticut,9,2015.0,Other and unspecified narcotics,T40.6,22,3590886
1575,,Connecticut,9,2015.0,Cannabis (derivatives),T40.7,Suppressed,3590886
1576,,Connecticut,9,2015.0,Lysergide [LSD],T40.8,Suppressed,3590886
1577,,Connecticut,9,2015.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3590886
1578,Total,Connecticut,9,2015.0,,,1056,3590886
1579,,Connecticut,9,2016.0,Opium,T40.0,Suppressed,3576452
1580,,Connecticut,9,2016.0,Heroin,T40.1,455,3576452
1581,,Connecticut,9,2016.0,Other opioids,T40.2,210,3576452
1582,,Connecticut,9,2016.0,Methadone,T40.3,75,3576452
1583,,Connecticut,9,2016.0,Other synthetic narcotics,T40.4,503,3576452
1584,,Connecticut,9,2016.0,Cocaine,T40.5,245,3576452
1585,,Connecticut,9,2016.0,Other and unspecified narcotics,T40.6,13,3576452
1586,,Connecticut,9,2016.0,Cannabis (derivatives),T40.7,Suppressed,3576452
1587,,Connecticut,9,2016.0,Lysergide [LSD],T40.8,Suppressed,3576452
1588,,Connecticut,9,2016.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3576452
1589,Total,Connecticut,9,2016.0,,,1504,3576452
1590,,Connecticut,9,2017.0,Opium,T40.0,Suppressed,3588184
1591,,Connecticut,9,2017.0,Heroin,T40.1,428,3588184
1592,,Connecticut,9,2017.0,Other opioids,T40.2,194,3588184
1593,,Connecticut,9,2017.0,Methadone,T40.3,95,3588184
1594,,Connecticut,9,2017.0,Other synthetic narcotics,T40.4,690,3588184
1595,,Connecticut,9,2017.0,Cocaine,T40.5,295,3588184
1596,,Connecticut,9,2017.0,Other and unspecified narcotics,T40.6,11,3588184
1597,,Connecticut,9,2017.0,Cannabis (derivatives),T40.7,Suppressed,3588184
1598,,Connecticut,9,2017.0,Lysergide [LSD],T40.8,Suppressed,3588184
1599,,Connecticut,9,2017.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3588184
1600,Total,Connecticut,9,2017.0,,,1715,3588184
1601,,Connecticut,9,2018.0,Opium,T40.0,Suppressed,3572665
1602,,Connecticut,9,2018.0,Heroin,T40.1,340,3572665
1603,,Connecticut,9,2018.0,Other opioids,T40.2,164,3572665
1604,,Connecticut,9,2018.0,Methadone,T40.3,84,3572665
1605,,Connecticut,9,2018.0,Other synthetic narcotics,T40.4,773,3572665
1606,,Connecticut,9,2018.0,Cocaine,T40.5,316,3572665
1607,,Connecticut,9,2018.0,Other and unspecified narcotics,T40.6,Suppressed,3572665
1608,,Connecticut,9,2018.0,Cannabis (derivatives),T40.7,Suppressed,3572665
1609,,Connecticut,9,2018.0,Lysergide [LSD],T40.8,Suppressed,3572665
1610,,Connecticut,9,2018.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,3572665
1611,Total,Connecticut,9,2018.0,,,1688,3572665
1612,,Connecticut,9,2019.0,Opium,T40.0,Suppressed,3565287
1613,,Connecticut,9,2019.0,Heroin,T40.1,342,3565287
1614,,Connecticut,9,2019.0,Other opioids,T40.2,212,3565287
1615,,Connecticut,9,2019.0,Methadone,T40.3,89,3565287
