,State,Year,Multiple Cause of death,Population,Deaths,Crude Rate
1017,Florida,2013,Methadone,19552860,277,1.42
1018,Florida,2013,Other narcotics,19552860,244,1.25
1019,Florida,2013,Other opioids,19552860,792,4.05
1020,Florida,2014,Cocaine,19893297,459,2.31
1021,Florida,2014,Heroin,19893297,351,1.76
1022,Florida,2014,Methadone,19893297,233,1.17
1023,Florida,2014,Other narcotics,19893297,378,1.9
1024,Florida,2014,Other opioids,19893297,725,3.64
1025,Florida,2015,Cocaine,20271272,605,2.98
1026,Florida,2015,Heroin,20271272,570,2.81
1027,Florida,2015,Methadone,20271272,214,1.06
1028,Florida,2015,Other narcotics,20271272,681,3.36
1029,Florida,2015,Other opioids,20271272,819,4.04
1030,Florida,2016,Cocaine,20612439,1108,5.38
1031,Florida,2016,Heroin,20612439,675,3.27
1032,Florida,2016,Methadone,20612439,209,1.01
1033,Florida,2016,Other narcotics,20612439,1665,8.08
1034,Florida,2016,Other opioids,20612439,1054,5.11
1035,Florida,2017,Cocaine,20984400,1413,6.73
1036,Florida,2017,Heroin,20984400,713,3.4
1037,Florida,2017,Methadone,20984400,184,0.88
1038,Florida,2017,Other narcotics,20984400,2226,10.61
1039,Florida,2017,Other opioids,20984400,1169,5.57
1040,Florida,2018,Cocaine,21299325,1316,6.18
1041,Florida,2018,Heroin,21299325,692,3.25
1042,Florida,2018,Methadone,21299325,192,0.9
1043,Florida,2018,Other narcotics,21299325,2201,10.33
1044,Florida,2018,Other opioids,21299325,1187,5.57
1045,Florida,2019,Cocaine,21477737,1500,6.98
1046,Florida,2019,Heroin,21477737,704,3.28
1047,Florida,2019,Methadone,21477737,146,0.68
1048,Florida,2019,Other narcotics,21477737,2931,13.65
1049,Florida,2019,Other opioids,21477737,1125,5.24
1050,Georgia,1999,Cocaine,8045965,83,1.03
1051,Georgia,1999,Heroin,8045965,5,0.06
1052,Georgia,1999,Methadone,8045965,14,0.17
1053,Georgia,1999,Other narcotics,8045965,43,0.53
1054,Georgia,1999,Other opioids,8045965,27,0.34
1055,Georgia,2000,Cocaine,8186453,118,1.44
1056,Georgia,2000,Heroin,8186453,5,0.06
1057,Georgia,2000,Methadone,8186453,19,0.23
1058,Georgia,2000,Other narcotics,8186453,51,0.62
1059,Georgia,2000,Other opioids,8186453,69,0.84
1060,Georgia,2001,Cocaine,8377038,126,1.5
1061,Georgia,2001,Heroin,8377038,5,0.06
1062,Georgia,2001,Methadone,8377038,43,0.51
1063,Georgia,2001,Other narcotics,8377038,75,0.9
1064,Georgia,2001,Other opioids,8377038,95,1.13
1065,Georgia,2002,Cocaine,8508256,125,1.47
1066,Georgia,2002,Heroin,8508256,5,0.06
1067,Georgia,2002,Methadone,8508256,52,0.61
1068,Georgia,2002,Other narcotics,8508256,86,1.01
1069,Georgia,2002,Other opioids,8508256,100,1.18
1070,Georgia,2003,Cocaine,8622793,146,1.69
1071,Georgia,2003,Heroin,8622793,5,0.06
1072,Georgia,2003,Methadone,8622793,71,0.82
1073,Georgia,2003,Other narcotics,8622793,88,1.02
1074,Georgia,2003,Other opioids,8622793,95,1.1
1075,Georgia,2004,Cocaine,8769252,163,1.86
1076,Georgia,2004,Heroin,8769252,5,0.06
1077,Georgia,2004,Methadone,8769252,97,1.11
1078,Georgia,2004,Other narcotics,8769252,72,0.82
1079,Georgia,2004,Other opioids,8769252,109,1.24
1080,Georgia,2005,Cocaine,8925922,171,1.92
1081,Georgia,2005,Heroin,8925922,5,0.06
1082,Georgia,2005,Methadone,8925922,128,1.43
1083,Georgia,2005,Other narcotics,8925922,81,0.91
1084,Georgia,2005,Other opioids,8925922,128,1.43
1085,Georgia,2006,Cocaine,9155813,197,2.15
1086,Georgia,2006,Heroin,9155813,5,0.05
1087,Georgia,2006,Methadone,9155813,143,1.56
1088,Georgia,2006,Other narcotics,9155813,82,0.9
1089,Georgia,2006,Other opioids,9155813,136,1.49
1090,Georgia,2007,Cocaine,9349988,192,2.05
1091,Georgia,2007,Heroin,9349988,11,0.12
1092,Georgia,2007,Methadone,9349988,175,1.87
1093,Georgia,2007,Other narcotics,9349988,111,1.19
1094,Georgia,2007,Other opioids,9349988,145,1.55
1095,Georgia,2008,Cocaine,9504843,140,1.47
1096,Georgia,2008,Heroin,9504843,24,0.25
1097,Georgia,2008,Methadone,9504843,142,1.49
1098,Georgia,2008,Other narcotics,9504843,87,0.92
1099,Georgia,2008,Other opioids,9504843,198,2.08
1100,Georgia,2009,Cocaine,9620846,148,1.54
1101,Georgia,2009,Heroin,9620846,21,0.22
1102,Georgia,2009,Methadone,9620846,168,1.75
1103,Georgia,2009,Other narcotics,9620846,115,1.2
1104,Georgia,2009,Other opioids,9620846,260,2.7
1105,Georgia,2010,Cocaine,9687653,122,1.26
1106,Georgia,2010,Heroin,9687653,10,0.1
1107,Georgia,2010,Methadone,9687653,152,1.57
1108,Georgia,2010,Other narcotics,9687653,136,1.4
1109,Georgia,2010,Other opioids,9687653,317,3.27
1110,Georgia,2011,Cocaine,9815210,111,1.13
1111,Georgia,2011,Heroin,9815210,30,0.31
1112,Georgia,2011,Methadone,9815210,143,1.46
1113,Georgia,2011,Other narcotics,9815210,118,1.2
1114,Georgia,2011,Other opioids,9815210,337,3.43
1115,Georgia,2012,Cocaine,9919945,116,1.17
1116,Georgia,2012,Heroin,9919945,40,0.4
1117,Georgia,2012,Methadone,9919945,162,1.63
1118,Georgia,2012,Other narcotics,9919945,109,1.1
1119,Georgia,2012,Other opioids,9919945,309,3.11
1120,Georgia,2013,Cocaine,9992167,127,1.27
1121,Georgia,2013,Heroin,9992167,67,0.67
1122,Georgia,2013,Methadone,9992167,110,1.1
1123,Georgia,2013,Other narcotics,9992167,118,1.18
1124,Georgia,2013,Other opioids,9992167,316,3.16
1125,Georgia,2014,Cocaine,10097343,156,1.54
1126,Georgia,2014,Heroin,10097343,153,1.52
1127,Georgia,2014,Methadone,10097343,125,1.24
1128,Georgia,2014,Other narcotics,10097343,215,2.13
1129,Georgia,2014,Other opioids,10097343,398,3.94
1130,Georgia,2015,Cocaine,10214860,171,1.67
1131,Georgia,2015,Heroin,10214860,224,2.19
1132,Georgia,2015,Methadone,10214860,117,1.15
1133,Georgia,2015,Other narcotics,10214860,351,3.44
1134,Georgia,2015,Other opioids,10214860,442,4.33
1135,Georgia,2016,Cocaine,10310371,221,2.14
1136,Georgia,2016,Heroin,10310371,232,2.25
1137,Georgia,2016,Methadone,10310371,115,1.12
1138,Georgia,2016,Other narcotics,10310371,344,3.34
1139,Georgia,2016,Other opioids,10310371,469,4.55
1140,Georgia,2017,Cocaine,10429379,281,2.69
1141,Georgia,2017,Heroin,10429379,265,2.54
1142,Georgia,2017,Methadone,10429379,87,0.83
1143,Georgia,2017,Other narcotics,10429379,464,4.45
1144,Georgia,2017,Other opioids,10429379,538,5.16
1145,Georgia,2018,Cocaine,10519475,313,2.98
1146,Georgia,2018,Heroin,10519475,301,2.86
1147,Georgia,2018,Methadone,10519475,87,0.83
1148,Georgia,2018,Other narcotics,10519475,385,3.66
1149,Georgia,2018,Other opioids,10519475,423,4.02
1150,Georgia,2019,Cocaine,10617423,325,3.06
1151,Georgia,2019,Heroin,10617423,305,2.87
1152,Georgia,2019,Methadone,10617423,65,0.61
1153,Georgia,2019,Other narcotics,10617423,448,4.22
1154,Georgia,2019,Other opioids,10617423,391,3.68
1155,Hawaii,1999,Cocaine,1210300,15,1.24
1156,Hawaii,1999,Heroin,1210300,5,0.41
1157,Hawaii,1999,Methadone,1210300,5,0.41
1158,Hawaii,1999,Other narcotics,1210300,10,0.83
1159,Hawaii,1999,Other opioids,1210300,25,2.07
1160,Hawaii,2000,Cocaine,1211537,5,0.41
1161,Hawaii,2000,Heroin,1211537,5,0.41
1162,Hawaii,2000,Methadone,1211537,5,0.41
1163,Hawaii,2000,Other narcotics,1211537,10,0.83
1164,Hawaii,2000,Other opioids,1211537,25,2.06
1165,Hawaii,2001,Cocaine,1225948,12,0.98
1166,Hawaii,2001,Heroin,1225948,5,0.41
1167,Hawaii,2001,Methadone,1225948,5,0.41
1168,Hawaii,2001,Other narcotics,1225948,10,0.82
1169,Hawaii,2001,Other opioids,1225948,28,2.28
1170,Hawaii,2002,Cocaine,1239613,13,1.05
1171,Hawaii,2002,Heroin,1239613,5,0.4
1172,Hawaii,2002,Methadone,1239613,15,1.21
1173,Hawaii,2002,Other narcotics,1239613,10,0.81
1174,Hawaii,2002,Other opioids,1239613,28,2.26
1175,Hawaii,2003,Cocaine,1251154,17,1.36
1176,Hawaii,2003,Heroin,1251154,5,0.4
1177,Hawaii,2003,Methadone,1251154,5,0.4
1178,Hawaii,2003,Other narcotics,1251154,10,0.8
1179,Hawaii,2003,Other opioids,1251154,26,2.08
1180,Hawaii,2004,Cocaine,1273569,14,1.1
1181,Hawaii,2004,Heroin,1273569,5,0.39
1182,Hawaii,2004,Methadone,1273569,16,1.26
1183,Hawaii,2004,Other narcotics,1273569,10,0.79
1184,Hawaii,2004,Other opioids,1273569,35,2.75
1185,Hawaii,2005,Cocaine,1292729,5,0.39
1186,Hawaii,2005,Heroin,1292729,5,0.39
1187,Hawaii,2005,Methadone,1292729,19,1.47
1188,Hawaii,2005,Other narcotics,1292729,10,0.77
1189,Hawaii,2005,Other opioids,1292729,42,3.25
1190,Hawaii,2006,Cocaine,1309731,13,0.99
1191,Hawaii,2006,Heroin,1309731,5,0.38
1192,Hawaii,2006,Methadone,1309731,22,1.68
1193,Hawaii,2006,Other narcotics,1309731,18,1.37
1194,Hawaii,2006,Other opioids,1309731,34,2.6
1195,Hawaii,2007,Cocaine,1315675,16,1.22
1196,Hawaii,2007,Heroin,1315675,5,0.38
1197,Hawaii,2007,Methadone,1315675,21,1.6
1198,Hawaii,2007,Other narcotics,1315675,10,0.76
1199,Hawaii,2007,Other opioids,1315675,51,3.88
1200,Hawaii,2008,Cocaine,1332213,11,0.83
1201,Hawaii,2008,Heroin,1332213,5,0.38
1202,Hawaii,2008,Methadone,1332213,11,0.83
1203,Hawaii,2008,Other narcotics,1332213,10,0.75
1204,Hawaii,2008,Other opioids,1332213,38,2.85
1205,Hawaii,2009,Cocaine,1346717,15,1.11
1206,Hawaii,2009,Heroin,1346717,5,0.37
1207,Hawaii,2009,Methadone,1346717,20,1.49
1208,Hawaii,2009,Other narcotics,1346717,10,0.74
1209,Hawaii,2009,Other opioids,1346717,37,2.75
1210,Hawaii,2010,Cocaine,1360301,11,0.81
1211,Hawaii,2010,Heroin,1360301,5,0.37
1212,Hawaii,2010,Methadone,1360301,14,1.03
1213,Hawaii,2010,Other narcotics,1360301,18,1.32
1214,Hawaii,2010,Other opioids,1360301,43,3.16
1215,Hawaii,2011,Cocaine,1374810,10,0.73
1216,Hawaii,2011,Heroin,1374810,5,0.36
1217,Hawaii,2011,Methadone,1374810,19,1.38
1218,Hawaii,2011,Other narcotics,1374810,10,0.73
1219,Hawaii,2011,Other opioids,1374810,48,3.49
1220,Hawaii,2012,Cocaine,1392313,5,0.36
1221,Hawaii,2012,Heroin,1392313,5,0.36
1222,Hawaii,2012,Methadone,1392313,16,1.15
1223,Hawaii,2012,Other narcotics,1392313,10,0.72
1224,Hawaii,2012,Other opioids,1392313,37,2.66
1225,Hawaii,2013,Cocaine,1404054,10,0.71
1226,Hawaii,2013,Heroin,1404054,10,0.71
1227,Hawaii,2013,Methadone,1404054,17,1.21
1228,Hawaii,2013,Other narcotics,1404054,10,0.71
1229,Hawaii,2013,Other opioids,1404054,40,2.85
1230,Hawaii,2014,Cocaine,1419561,5,0.35
1231,Hawaii,2014,Heroin,1419561,13,0.92
1232,Hawaii,2014,Methadone,1419561,11,0.77
1233,Hawaii,2014,Other narcotics,1419561,10,0.7
1234,Hawaii,2014,Other opioids,1419561,35,2.47
1235,Hawaii,2015,Cocaine,1431603,5,0.35
1236,Hawaii,2015,Heroin,1431603,15,1.05
1237,Hawaii,2015,Methadone,1431603,11,0.77
1238,Hawaii,2015,Other narcotics,1431603,18,1.26
1239,Hawaii,2015,Other opioids,1431603,38,2.65
1240,Hawaii,2016,Cocaine,1428557,5,0.35
1241,Hawaii,2016,Heroin,1428557,20,1.4
1242,Hawaii,2016,Methadone,1428557,15,1.05
1243,Hawaii,2016,Other narcotics,1428557,16,1.12
1244,Hawaii,2016,Other opioids,1428557,47,3.29
1245,Hawaii,2017,Cocaine,1427538,11,0.77
1246,Hawaii,2017,Heroin,1427538,10,0.7
1247,Hawaii,2017,Methadone,1427538,5,0.35
1248,Hawaii,2017,Other narcotics,1427538,10,0.7
1249,Hawaii,2017,Other opioids,1427538,35,2.45
1250,Hawaii,2018,Cocaine,1420491,14,0.99
1251,Hawaii,2018,Heroin,1420491,16,1.13
1252,Hawaii,2018,Methadone,1420491,5,0.35
1253,Hawaii,2018,Other narcotics,1420491,19,1.34
1254,Hawaii,2018,Other opioids,1420491,28,1.97
1255,Hawaii,2019,Cocaine,1415872,14,0.99
1256,Hawaii,2019,Heroin,1415872,19,1.34
1257,Hawaii,2019,Methadone,1415872,5,0.35
1258,Hawaii,2019,Other narcotics,1415872,25,1.77
1259,Hawaii,2019,Other opioids,1415872,24,1.7
1260,Idaho,1999,Cocaine,1275674,5,0.39
1261,Idaho,1999,Heroin,1275674,5,0.39
1262,Idaho,1999,Methadone,1275674,5,0.39
1263,Idaho,1999,Other narcotics,1275674,10,0.78
1264,Idaho,1999,Other opioids,1275674,11,0.86
1265,Idaho,2000,Cocaine,1293953,5,0.39
1266,Idaho,2000,Heroin,1293953,5,0.39
1267,Idaho,2000,Methadone,1293953,5,0.39
1268,Idaho,2000,Other narcotics,1293953,10,0.77
1269,Idaho,2000,Other opioids,1293953,17,1.31
1270,Idaho,2001,Cocaine,1319962,5,0.38
1271,Idaho,2001,Heroin,1319962,5,0.38
1272,Idaho,2001,Methadone,1319962,10,0.76
1273,Idaho,2001,Other narcotics,1319962,10,0.76
1274,Idaho,2001,Other opioids,1319962,30,2.27
1275,Idaho,2002,Cocaine,1340372,5,0.37
1276,Idaho,2002,Heroin,1340372,5,0.37
1277,Idaho,2002,Methadone,1340372,10,0.75
1278,Idaho,2002,Other narcotics,1340372,10,0.75
1279,Idaho,2002,Other opioids,1340372,25,1.87
1280,Idaho,2003,Cocaine,1363380,5,0.37
1281,Idaho,2003,Heroin,1363380,5,0.37
1282,Idaho,2003,Methadone,1363380,21,1.54
1283,Idaho,2003,Other narcotics,1363380,10,0.73
1284,Idaho,2003,Other opioids,1363380,30,2.2
1285,Idaho,2004,Cocaine,1391802,5,0.36
1286,Idaho,2004,Heroin,1391802,5,0.36
1287,Idaho,2004,Methadone,1391802,23,1.65
1288,Idaho,2004,Other narcotics,1391802,10,0.72
1289,Idaho,2004,Other opioids,1391802,21,1.51
1290,Idaho,2005,Cocaine,1428241,5,0.35
1291,Idaho,2005,Heroin,1428241,5,0.35
1292,Idaho,2005,Methadone,1428241,13,0.91
1293,Idaho,2005,Other narcotics,1428241,10,0.7
1294,Idaho,2005,Other opioids,1428241,27,1.89
1295,Idaho,2006,Cocaine,1468669,5,0.34
1296,Idaho,2006,Heroin,1468669,5,0.34
1297,Idaho,2006,Methadone,1468669,35,2.38
1298,Idaho,2006,Other narcotics,1468669,10,0.68
1299,Idaho,2006,Other opioids,1468669,30,2.04
1300,Idaho,2007,Cocaine,1505105,5,0.33
1301,Idaho,2007,Heroin,1505105,5,0.33
1302,Idaho,2007,Methadone,1505105,23,1.53
1303,Idaho,2007,Other narcotics,1505105,15,1.0
1304,Idaho,2007,Other opioids,1505105,34,2.26
1305,Idaho,2008,Cocaine,1534320,5,0.33
1306,Idaho,2008,Heroin,1534320,5,0.33
1307,Idaho,2008,Methadone,1534320,19,1.24
1308,Idaho,2008,Other narcotics,1534320,10,0.65
1309,Idaho,2008,Other opioids,1534320,48,3.13
1310,Idaho,2009,Cocaine,1554439,5,0.32
1311,Idaho,2009,Heroin,1554439,5,0.32
1312,Idaho,2009,Methadone,1554439,17,1.09
1313,Idaho,2009,Other narcotics,1554439,16,1.03
1314,Idaho,2009,Other opioids,1554439,38,2.44
1315,Idaho,2010,Cocaine,1567582,5,0.32
1316,Idaho,2010,Heroin,1567582,5,0.32
1317,Idaho,2010,Methadone,1567582,26,1.66
1318,Idaho,2010,Other narcotics,1567582,25,1.59
1319,Idaho,2010,Other opioids,1567582,44,2.81
1320,Idaho,2011,Cocaine,1584985,5,0.32
1321,Idaho,2011,Heroin,1584985,5,0.32
1322,Idaho,2011,Methadone,1584985,23,1.45
1323,Idaho,2011,Other narcotics,1584985,17,1.07
1324,Idaho,2011,Other opioids,1584985,46,2.9
1325,Idaho,2012,Cocaine,1595728,5,0.31
1326,Idaho,2012,Heroin,1595728,5,0.31
1327,Idaho,2012,Methadone,1595728,13,0.81
1328,Idaho,2012,Other narcotics,1595728,16,1.0
1329,Idaho,2012,Other opioids,1595728,33,2.07
1330,Idaho,2013,Cocaine,1612136,5,0.31
1331,Idaho,2013,Heroin,1612136,5,0.31
1332,Idaho,2013,Methadone,1612136,12,0.74
1333,Idaho,2013,Other narcotics,1612136,20,1.24
1334,Idaho,2013,Other opioids,1612136,53,3.29
1335,Idaho,2014,Cocaine,1634464,5,0.31
1336,Idaho,2014,Heroin,1634464,11,0.67
1337,Idaho,2014,Methadone,1634464,18,1.1
1338,Idaho,2014,Other narcotics,1634464,18,1.1
1339,Idaho,2014,Other opioids,1634464,44,2.69
1340,Idaho,2015,Cocaine,1654930,5,0.3
1341,Idaho,2015,Heroin,1654930,16,0.97
1342,Idaho,2015,Methadone,1654930,12,0.73
1343,Idaho,2015,Other narcotics,1654930,21,1.27
1344,Idaho,2015,Other opioids,1654930,51,3.08
1345,Idaho,2016,Cocaine,1683140,5,0.3
1346,Idaho,2016,Heroin,1683140,25,1.49
1347,Idaho,2016,Methadone,1683140,15,0.89
1348,Idaho,2016,Other narcotics,1683140,31,1.84
1349,Idaho,2016,Other opioids,1683140,65,3.86
1350,Idaho,2017,Cocaine,1716943,5,0.29
1351,Idaho,2017,Heroin,1716943,23,1.34
1352,Idaho,2017,Methadone,1716943,14,0.82
1353,Idaho,2017,Other narcotics,1716943,29,1.69
1354,Idaho,2017,Other opioids,1716943,59,3.44
1355,Idaho,2018,Cocaine,1754208,5,0.29
1356,Idaho,2018,Heroin,1754208,29,1.65
1357,Idaho,2018,Methadone,1754208,10,0.57
1358,Idaho,2018,Other narcotics,1754208,33,1.88
1359,Idaho,2018,Other opioids,1754208,72,4.1
1360,Idaho,2019,Cocaine,1787065,5,0.28
1361,Idaho,2019,Heroin,1787065,40,2.24
1362,Idaho,2019,Methadone,1787065,11,0.62
1363,Idaho,2019,Other narcotics,1787065,38,2.13
1364,Idaho,2019,Other opioids,1787065,79,4.42
1365,Illinois,1999,Cocaine,12359020,499,4.04
1366,Illinois,1999,Heroin,12359020,31,0.25
1367,Illinois,1999,Methadone,12359020,31,0.25
1368,Illinois,1999,Other narcotics,12359020,458,3.71
1369,Illinois,1999,Other opioids,12359020,46,0.37
1370,Illinois,2000,Cocaine,12419293,434,3.49
1371,Illinois,2000,Heroin,12419293,35,0.28
1372,Illinois,2000,Methadone,12419293,63,0.51
1373,Illinois,2000,Other narcotics,12419293,517,4.16
1374,Illinois,2000,Other opioids,12419293,51,0.41
1375,Illinois,2001,Cocaine,12488445,455,3.64
1376,Illinois,2001,Heroin,12488445,40,0.32
1377,Illinois,2001,Methadone,12488445,60,0.48
1378,Illinois,2001,Other narcotics,12488445,435,3.48
1379,Illinois,2001,Other opioids,12488445,74,0.59
1380,Illinois,2002,Cocaine,12525556,473,3.78
1381,Illinois,2002,Heroin,12525556,49,0.39
1382,Illinois,2002,Methadone,12525556,72,0.57
1383,Illinois,2002,Other narcotics,12525556,457,3.65
1384,Illinois,2002,Other opioids,12525556,89,0.71
1385,Illinois,2003,Cocaine,12556006,439,3.5
1386,Illinois,2003,Heroin,12556006,22,0.18
1387,Illinois,2003,Methadone,12556006,68,0.54
1388,Illinois,2003,Other narcotics,12556006,380,3.03
1389,Illinois,2003,Other opioids,12556006,68,0.54
1390,Illinois,2004,Cocaine,12589773,554,4.4
1391,Illinois,2004,Heroin,12589773,36,0.29
1392,Illinois,2004,Methadone,12589773,77,0.61
1393,Illinois,2004,Other narcotics,12589773,422,3.35
1394,Illinois,2004,Other opioids,12589773,79,0.63
1395,Illinois,2005,Cocaine,12609903,559,4.43
1396,Illinois,2005,Heroin,12609903,56,0.44
1397,Illinois,2005,Methadone,12609903,86,0.68
1398,Illinois,2005,Other narcotics,12609903,446,3.54
1399,Illinois,2005,Other opioids,12609903,109,0.86
1400,Illinois,2006,Cocaine,12643955,676,5.35
1401,Illinois,2006,Heroin,12643955,66,0.52
1402,Illinois,2006,Methadone,12643955,98,0.78
1403,Illinois,2006,Other narcotics,12643955,769,6.08
1404,Illinois,2006,Other opioids,12643955,111,0.88
1405,Illinois,2007,Cocaine,12695866,544,4.28
1406,Illinois,2007,Heroin,12695866,65,0.51
1407,Illinois,2007,Methadone,12695866,106,0.83
1408,Illinois,2007,Other narcotics,12695866,470,3.7
1409,Illinois,2007,Other opioids,12695866,151,1.19
1410,Illinois,2008,Cocaine,12747038,468,3.67
1411,Illinois,2008,Heroin,12747038,107,0.84
1412,Illinois,2008,Methadone,12747038,86,0.67
1413,Illinois,2008,Other narcotics,12747038,573,4.5
1414,Illinois,2008,Other opioids,12747038,191,1.5
1415,Illinois,2009,Cocaine,12796778,419,3.27
1416,Illinois,2009,Heroin,12796778,118,0.92
1417,Illinois,2009,Methadone,12796778,89,0.7
1418,Illinois,2009,Other narcotics,12796778,603,4.71
1419,Illinois,2009,Other opioids,12796778,204,1.59
1420,Illinois,2010,Cocaine,12830632,370,2.88
1421,Illinois,2010,Heroin,12830632,153,1.19
1422,Illinois,2010,Methadone,12830632,83,0.65
1423,Illinois,2010,Other narcotics,12830632,583,4.54
1424,Illinois,2010,Other opioids,12830632,183,1.43
1425,Illinois,2011,Cocaine,12869257,372,2.89
1426,Illinois,2011,Heroin,12869257,171,1.33
1427,Illinois,2011,Methadone,12869257,88,0.68
1428,Illinois,2011,Other narcotics,12869257,599,4.65
1429,Illinois,2011,Other opioids,12869257,174,1.35
1430,Illinois,2012,Cocaine,12875255,415,3.22
1431,Illinois,2012,Heroin,12875255,275,2.14
1432,Illinois,2012,Methadone,12875255,110,0.85
1433,Illinois,2012,Other narcotics,12875255,728,5.65
1434,Illinois,2012,Other opioids,12875255,188,1.46
1435,Illinois,2013,Cocaine,12882135,341,2.65
1436,Illinois,2013,Heroin,12882135,596,4.63
1437,Illinois,2013,Methadone,12882135,97,0.75
1438,Illinois,2013,Other narcotics,12882135,348,2.7
1439,Illinois,2013,Other opioids,12882135,210,1.63
1440,Illinois,2014,Cocaine,12880580,323,2.51
1441,Illinois,2014,Heroin,12880580,734,5.7
1442,Illinois,2014,Methadone,12880580,110,0.85
1443,Illinois,2014,Other narcotics,12880580,277,2.15
1444,Illinois,2014,Other opioids,12880580,269,2.09
1445,Illinois,2015,Cocaine,12859995,361,2.81
1446,Illinois,2015,Heroin,12859995,855,6.65
1447,Illinois,2015,Methadone,12859995,105,0.82
1448,Illinois,2015,Other narcotics,12859995,418,3.25
1449,Illinois,2015,Other opioids,12859995,296,2.3
1450,Illinois,2016,Cocaine,12801539,548,4.28
1451,Illinois,2016,Heroin,12801539,1059,8.27
1452,Illinois,2016,Methadone,12801539,126,0.98
1453,Illinois,2016,Other narcotics,12801539,1065,8.32
1454,Illinois,2016,Other opioids,12801539,399,3.12
1455,Illinois,2017,Cocaine,12802023,795,6.21
1456,Illinois,2017,Heroin,12802023,1203,9.4
1457,Illinois,2017,Methadone,12802023,161,1.26
1458,Illinois,2017,Other narcotics,12802023,1348,10.53
1459,Illinois,2017,Other opioids,12802023,513,4.01
1460,Illinois,2018,Cocaine,12741080,822,6.45
1461,Illinois,2018,Heroin,12741080,1064,8.35
1462,Illinois,2018,Methadone,12741080,160,1.26
1463,Illinois,2018,Other narcotics,12741080,1639,12.86
1464,Illinois,2018,Other opioids,12741080,423,3.32
1465,Illinois,2019,Cocaine,12671821,923,7.28
1466,Illinois,2019,Heroin,12671821,994,7.84
1467,Illinois,2019,Methadone,12671821,149,1.18
1468,Illinois,2019,Other narcotics,12671821,1798,14.19
1469,Illinois,2019,Other opioids,12671821,442,3.49
1470,Indiana,1999,Cocaine,6044969,31,0.51
1471,Indiana,1999,Heroin,6044969,5,0.08
1472,Indiana,1999,Methadone,6044969,5,0.08
1473,Indiana,1999,Other narcotics,6044969,20,0.33
1474,Indiana,1999,Other opioids,6044969,18,0.3
1475,Indiana,2000,Cocaine,6080485,23,0.38
1476,Indiana,2000,Heroin,6080485,5,0.08
1477,Indiana,2000,Methadone,6080485,5,0.08
1478,Indiana,2000,Other narcotics,6080485,25,0.41
1479,Indiana,2000,Other opioids,6080485,17,0.28
1480,Indiana,2001,Cocaine,6127760,32,0.52
1481,Indiana,2001,Heroin,6127760,10,0.16
1482,Indiana,2001,Methadone,6127760,16,0.26
1483,Indiana,2001,Other narcotics,6127760,18,0.29
1484,Indiana,2001,Other opioids,6127760,35,0.57
1485,Indiana,2002,Cocaine,6155967,37,0.6
1486,Indiana,2002,Heroin,6155967,5,0.08
1487,Indiana,2002,Methadone,6155967,21,0.34
1488,Indiana,2002,Other narcotics,6155967,31,0.5
1489,Indiana,2002,Other opioids,6155967,32,0.52
1490,Indiana,2003,Cocaine,6196638,51,0.82
1491,Indiana,2003,Heroin,6196638,5,0.08
1492,Indiana,2003,Methadone,6196638,49,0.79
1493,Indiana,2003,Other narcotics,6196638,56,0.9
1494,Indiana,2003,Other opioids,6196638,44,0.71
1495,Indiana,2004,Cocaine,6233007,65,1.04
1496,Indiana,2004,Heroin,6233007,5,0.08
1497,Indiana,2004,Methadone,6233007,38,0.61
1498,Indiana,2004,Other narcotics,6233007,63,1.01
1499,Indiana,2004,Other opioids,6233007,53,0.85
1500,Indiana,2005,Cocaine,6278616,60,0.96
1501,Indiana,2005,Heroin,6278616,16,0.25
1502,Indiana,2005,Methadone,6278616,56,0.89
1503,Indiana,2005,Other narcotics,6278616,57,0.91
1504,Indiana,2005,Other opioids,6278616,62,0.99
1505,Indiana,2006,Cocaine,6332669,69,1.09
1506,Indiana,2006,Heroin,6332669,10,0.16
1507,Indiana,2006,Methadone,6332669,53,0.84
1508,Indiana,2006,Other narcotics,6332669,91,1.44
1509,Indiana,2006,Other opioids,6332669,51,0.81
1510,Indiana,2007,Cocaine,6379599,68,1.07
1511,Indiana,2007,Heroin,6379599,18,0.28
1512,Indiana,2007,Methadone,6379599,80,1.25
1513,Indiana,2007,Other narcotics,6379599,90,1.41
1514,Indiana,2007,Other opioids,6379599,86,1.35
1515,Indiana,2008,Cocaine,6424806,58,0.9
1516,Indiana,2008,Heroin,6424806,58,0.9
1517,Indiana,2008,Methadone,6424806,84,1.31
1518,Indiana,2008,Other narcotics,6424806,107,1.67
1519,Indiana,2008,Other opioids,6424806,116,1.81
1520,Indiana,2009,Cocaine,6459325,50,0.77
1521,Indiana,2009,Heroin,6459325,65,1.01
1522,Indiana,2009,Methadone,6459325,84,1.3
1523,Indiana,2009,Other narcotics,6459325,90,1.39
1524,Indiana,2009,Other opioids,6459325,157,2.43
1525,Indiana,2010,Cocaine,6483802,49,0.76
1526,Indiana,2010,Heroin,6483802,59,0.91
1527,Indiana,2010,Methadone,6483802,64,0.99
1528,Indiana,2010,Other narcotics,6483802,75,1.16
1529,Indiana,2010,Other opioids,6483802,146,2.25
1530,Indiana,2011,Cocaine,6516922,41,0.63
1531,Indiana,2011,Heroin,6516922,69,1.06
1532,Indiana,2011,Methadone,6516922,60,0.92
1533,Indiana,2011,Other narcotics,6516922,93,1.43
